ajige_taiji ,	nn mark
tuttu tondo i fafula rakū ehe miosihon jurgan i banji ci ,	nv nv cm verb e nv nv nv cm verb e mark
julge men i aisin dai_ding_han de ,	nv pn cm nv nn cm mark
si šeo_pu be gai fi bargiya fi guri re ba de gama me gene ∅ ,	pn nv cm verb e verb e verb e nv cm verb e verb e mark
emu da jafu de emu yan ,	nv nv nv cm nv nv mark
tofohon uksin ,	nv nv mark
sin i beye guwangning de gene fi majige baha ha ulin be ,	pn cm nv nn cm verb e nv verb e nv cm mark
ai ai fafula ra kadala ra ba de enggici juleri seme emu kemun i kadala mbi ,	nv nv verb e verb e nv cm nv nv comp nv nv cm verb e mark
da rakū se ci ,	verb e verb e mark
gūwa gurun i šajin fafun genggiyen akdun akū o fi ,	nv nv cm nv nv nv nv nv verb e mark
ulgiyan uji re niyalma ,	nv verb e nv mark
ama ,	nv mark
weile he jeku i dabala ,	verb e nv cm ptcl mark
sonjo ho ninju uksin be gai fi ,	verb e nv nv cm verb e mark
in i ama i gai ha yehe i beile se i jui oshon eme be uji ki se ci ,	pn cm nv cm verb e nv cm nv nv cm nv nv nv cm verb e verb e mark
○ orin duin de ,	mark nv nv cm mark
coko ,	nv mark
baha ha morin eihen be wa fi je kebi ,	verb e nv nv cm verb e verb e mark
manggūldai_taiji ,	nn mark
gūwa be takūra ci ulin gai me ojo rahū ,	nv cm verb e nv verb e verb e mark
simiyan ,	nn mark
si bulca me ainu dosi kakū seme wa ra weile makta ha bi he ,	pn verb e nv verb e comp verb e nv verb e verb e mark
julergi_mederi jakara me te he boigon guribu me gene re de ,	nn verb e verb e nv verb e verb e cm mark
emu hehe ,	nv nv mark
olji niyalma ulha ulin sain tetun eiten hacin i jaka be gemu gama me ,	nv nv nv nv nv nv nv nv cm nv cm nv verb e mark
tuttu o ci duici_beile be dergi hoton de gana fi aca me gene ∅ se ,	nv verb e nn cm nv nv cm verb e verb e verb e nv mark
jung_gu i harangga niyalma be ,	nn cm nv nv cm mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
si_uli efu i wesimbu he bithe ,	nn nv cm verb e nv mark
○ juwan uyun de ,	mark nv nv cm mark
han i afabu ha jurgan be jurce rakū ,	nv cm verb e nv cm verb e mark
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv cm verb e nv nv cm verb e verb e mark
jeku be gemu tala me gai mbi ,	nv cm nv verb e verb e mark
i burula ha kai ,	pn verb e ptcl mark
cen i takūra ha burgi gebungge niyalma gene fi ilibu ha seme gisure me beide me toktobu ha weile be ,	pn cm verb e nn nv nv verb e verb e comp verb e verb e verb e nv cm mark
hingga ,	nn mark
jugūn de dain hūlha ambula ,	nv cm nv nv nv mark
emu ba be yabu me ,	nv nv cm verb e mark
afuni niru i emu niyalma ,	nn nv cm nv nv mark
amin_taiji donji fi ,	nn verb e mark
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb e nv cm verb e comp nv verb e mark
julge hūwan_gung ,	nv nn mark
jaka i niyalma dobori dosi fi ,	nv cm nv nv verb e mark
jaisai_beile be jooli me tumen ulha benji hebi ,	nn cm verb e nv nv verb e mark
tere dobori dedu fi ,	nv nv verb e mark
wa ha niyalma alin de tafa kabi seme ala ra jaka de ,	verb e nv nv cm verb e comp verb e nv cm mark
ula de emu feye ,	nv cm nv nv mark
dung_cang_pu i beiguwan lio_io_kuwan de unggi he bithe ,	nn cm nv nn cm verb e nv mark
dobi_ecike ,	nn mark
hai_jeo ,	nn mark
emte tanggū cooha be gai fi ,	nv nv nv cm verb e mark
be_tu_cang ni ba de unggi he .	nn cm nv cm verb e mark
○ du_tang ni bithe ,	mark nv cm nv mark
uka me gene he emu jušen be takūra fi unggi me bithe de ara ha ngge ,	verb e verb e nv nv cm verb e verb e nv cm verb e nmlz mark
han i bithe ,	nv cm nv mark
ilan tanggū ihan ,	nv nv nv mark
dain i niyalma i gisun be gai fi bele he turgun de ,	nv cm nv cm nv cm verb e verb e nv cm mark
juwan duici jergi ,	nv nv nv mark
julge i kooli be ,	nv cm nv cm mark
kundule me uji re bi he kai ,	verb e verb e verb e ptcl mark
beye i sui de wasi kini .	nv cm nv cm verb e mark
men i nukte jugūn jugūn i o fi isa me mute hekū ,	pn cm nv nv nv cm verb e verb e verb e mark
han hendu me ,	nv verb e mark
○ amin_beile ,	mark nn mark
da ci šajila me gisure he ngge ,	nv cm verb e verb e nmlz mark
niyalma i ciha waka ,	nv cm nv nv mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
ice ilan i cimari ,	nv nv cm nv mark
sio_ling_sy ,	nn mark
han hendu me ,	nv verb e mark
ulha i ambula ,	nv cm nv mark
hecen saha ra alban de ume dabu re ,	nv verb e nv cm nv verb e mark
hūcin de okto makta ha nikasa be saikan dacila me duile fi ,	nv cm nv verb e nv cm nv verb e verb e mark
hūlha ha ulin be gemu gai fi ,	verb e nv cm nv verb e mark
si wei dasa ha ba de te ki seme gūni habi ,	pn nv verb e nv cm verb e comp verb e mark
bira i dalin be ulan fete fi tuwakiya kini .	nv cm nv cm nv verb e verb e mark
gašan bošokū de isi tala bithe wasimbu ha .	nv nv cm verb e nv verb e mark
abka na de akdula me gashū habi ,	nv nv cm verb e verb e mark
ende me cala me buce re weile baha ci guwebu ∅ ,	verb e verb e verb e nv verb e verb e mark
ira bele emu hule ,	nv nv nv nv mark
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb e nv cm verb e comp nv verb e mark
bonio erin de gūlbon gebungge ba de ing hada fi ili ha ,	nv nv cm nn nv nv cm nv verb e verb e mark
beye buce kini ,	nv verb e mark
men i ula i ba ,	pn cm nv cm nv mark
warka i hesihe ,	nn cm nn mark
hai_si isu_ho_wei i du_jy_hūi_ciyanši olojung ni jui cunglu ,	nn nn cm nv nn cm nv nn mark
han duin temen ,	nv nv nv mark
bi urgūdai be ali me gai ∅ ,	pn nn cm verb e verb e mark
hūlan de juwan ninggun niru .	nv cm nv nv nv mark
pan fori rakū ,	nv verb e mark
duici_beile ere hoton de ji hekūbi ,	nn nv nv cm verb e mark
ubaša ra ukanda ra mujilen akū o fi ,	verb e verb e nv nv verb e mark
min de jase i orho bila ra ehe mujilen akū ,	pn cm nv cm nv verb e nv nv nv mark
uyun minggan juwe tanggū gūsin jakūn haha .	nv nv nv nv nv nv nv mark
bai te he de ,	nv verb e cm mark
niyaman o mbi se ci ,	nv verb e verb e mark
gūsin inenggi tebu fi ,	nv nv verb e mark
in i solho han de šusihiye me bithe unggi he seme amba hafan gercile me ala ra jaka de ,	pn cm nv nv cm verb e nv verb e comp nv nv verb e verb e nv cm mark
leose taktu ninggu de tebu fi min i hanci uji mbi ,	nv nv nv cm verb e pn cm nv verb e mark
meni meni tokso te fi tari ha jeku orho ,	nv nv nv verb e verb e nv nv mark
tuwana ci holto hobi ,	verb e verb e mark
beile se be ulin bu he seme ,	nv nv cm nv verb e comp mark
in i emu eme de banji ha juse gai kini seme hendu he .	pn cm nv nv cm verb e nv verb e comp verb e mark
jeng_giyang ,	nn mark
tere ci amin_taiji ,	nv cm nn mark
hūlha de hūlhabu re ,	nv cm verb e mark
gūlha fomoci jibsi hai emte juru ,	nv nv verb e nv nv mark
gori_hiya ,	nn mark
han i gosi me uji re de ,	nv cm verb e verb e cm mark
solho i jide re jugūn tang_šan de juwan niyalma be tucibu fi jugūn tuwakiyabu ∅ ,	nv cm verb e nv nn cm nv nv cm verb e nv verb e mark
jase tuci ke nikan be ucara ha ucara ha ba de susai funce me wa habi ,	nv verb e nv cm verb e verb e nv cm nv verb e verb e mark
gūsin niyalma alin ci wasi fi ,	nv nv nv cm verb e mark
min i jui komso gene fi ,	pn cm nv nv verb e mark
hai_si looli_ho_wei i du_jy_hūi jui sansang ,	nn nn cm nv nv nn mark
duici jergi uksin etu rakū beri jafa ra ngge honci ,	nv nv nv verb e nv verb e nmlz nn mark
baibi ekisaka banji re de ,	nv nv verb e cm mark
totani ,	nn mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
juwe ihan ,	nv nv mark
tere be enen hūncihin be suntebu me wa rakū ,	nv cm nv nv cm verb e verb e mark
abka i acabu ha be gūni me ,	nv cm verb e cm verb e mark
boihoci_ecike i arai ,	nn cm nn mark
muke be gene ∅ ,	nv cm verb e mark
niyalma gūsin funce me wa fi ,	nv nv verb e verb e mark
eihen ,	nv mark
orin boo de juwe ihan juwe eihen bi ,	nv nv cm nv nv nv nv verb mark
dobori o fi sarkū seme alanji ha ,	nv verb e nv comp verb e mark
dabsun bu ci isi rakū o fi ,	nv verb e verb e verb e mark
bi ,	verb mark
doro ajigen o mbi kai ,	nv nv verb e ptcl mark
dzung_bing_guwan ,	nv mark
beile se amban sa ,	nv nv nv nv mark
dzung_bing_guwan fakca hakū seme wesihun han de ala ∅ ,	nv verb e comp nv nv cm verb e mark
acuhiyan holo haldaba gisun tuci rakū ,	nv nv nv nv verb e mark
orin uksin niyalma de juwe wan arabu fi hecen de afabu ∅ ,	nv nv nv cm nv nv verb e nv cm verb e mark
ajige_age ,	nn mark
muhaliyan dzung_bing_guwan be ,	nv nv cm mark
haisangga ,	nn mark
beile se i morin hori re heren ara ra moo sa ci seme hūla fi ,	nv nv cm nv verb e nv verb e nv verb e comp verb e mark
bonio aniya ,	nv nv mark
uda ha seme gana ha de weile ,	verb e comp verb e cm nv mark
genggiyen_han de abka aisila me ,	nn cm nv verb e mark
ama i gung ,	nv cm nv mark
gida ,	nv mark
gene he amban sa tuwa me boigon i niyalma de elheken i bu ∅ ,	verb e nv nv verb e nv cm nv cm nv cm verb e mark
jai baindari ,	nv nn mark
○ tobohoi be ,	mark nn cm mark
juwe ba de afa ha seme nadan yan i weile waliya mbi ,	nv nv cm verb e comp nv nv cm nv verb e mark
kiolan ,	nn mark
yehe i juwe hoton i amban ajigen beile se be gemu uji fi ,	nv cm nv nv cm nv nv nv nv cm nv verb e mark
juwe haha ,	nv nv mark
ice_nakada ,	nn mark
in i jeku fete me gai me dosi ka de ,	pn cm nv verb e verb e verb e cm mark
enggeder_efu i deo monggol_taiji ,	nn cm nv nn mark
tana ,	nv mark
be akda habi ,	pn verb e mark
hacin hacin i amba asihan hergen bu hebi ,	nv nv cm nv nv nv verb e mark
han fonji me ,	nv verb e mark
jai jergi gūsa i ejen borjin_hiya ,	nv nv nv cm nv nn mark
tucibu me benji rakū ,	verb e verb e mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
sunja niru i ejen ,	nv nv cm nv mark
bangsu ,	nn mark
fulgiyan bayara i cooha afa me dosi ci ,	nv nv cm nv verb e verb e mark
cen i ilan nofi dende me gai habi ,	pn cm nv nv verb e verb e mark
dungga ,	nv mark
tumei ,	nn mark
cooha i niyalma mujilen ehe o mbi kai .	nv cm nv nv nv verb e ptcl mark
han gosi me wa ra beye be uji he ,	nv verb e verb e nv cm verb e mark
men i juwe nofi waka uru be ,	pn cm nv nv nv nv cm mark
ilaci jergi dzung_bing_guwan de emte temen bu he ,	nv nv nv cm nv nv verb e mark
baise casi gene re de ,	nv nv verb e cm mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
ehe be ehe seme han de ala mbi ,	nv cm nv comp nv cm verb e mark
juwe biya de yehe be sucu fi ,	nv nv cm nv cm verb e mark
ji he gung de sain uji mbi kai ,	verb e nv cm nv verb e ptcl mark
menggun gaija rakū aisin bu re niyalma i aisin be ume gaija ra .	nv verb e nv verb e nv cm nv cm nv verb e mark
ilhi ilhi ji fi tebeliye he ,	nv nv verb e verb e mark
○ orin juwe de ,	mark nv nv cm mark
emu ba de jete re jaka unca ra puseli tucibu re ,	nv nv cm verb e nv verb e nv verb e mark
baha ha olji be gemu geren de acabu me bene ki ,	verb e nv cm nv nv cm verb e verb e mark
cooha gene he beile se amban sa cooha i niyalma be aca fi ,	nv verb e nv nv nv nv nv cm nv cm verb e mark
urat i hajagai gai ha ,	nn cm nn verb e mark
geren beile se i baru hendu me ,	nv nv nv cm nv verb e mark
ejen akū jeku be baica fi ,	nv nv nv cm verb e mark
emhun beide rakū ,	nv verb e mark
yehe i subahai ,	nv cm nn mark
beiguwan bobotu ,	nv nn mark
mocin emken de juwe yan ,	nv nv cm nv nv mark
eihen nadan tanggū gūsin emu ,	nv nv nv nv nv mark
juwenggeri gida ci ,	nv verb e mark
uksin etu rakū beri jafa ra ngge ajigen_tasigun ,	nv verb e nv verb e nmlz nn mark
hecen de te kini ,	nv cm verb e mark
muse i guribu he gurun ,	nv cm verb e nv mark
jakūn gūsa i jakūn iogi ,	nv nv cm nv nv mark
usin be kice me weile fi jeku banji ha sain kai ,	nv cm verb e verb e nv verb e nv ptcl mark
han ,	nv mark
emu ciyandzung ,	nv nv mark
šang faita ra be faita ha ,	nv verb e cm verb e mark
da ci min i banji re waka be sa fi hendu ci ,	nv cm pn cm verb e nv cm verb e verb e mark
g'ao ,	nn mark
jakūn hošonggo yamun de isa fi weile beide mbihe ,	nv nv nv cm verb e nv verb e mark
dain doro de olhoba serebe niyalma ci dele ai bi seme tacibu me hendu fi ,	nv nv cm nv nv nv cm nv nv verb comp verb e verb e mark
han ,	nv mark
tere morin be yalu ha ejen tooda kini ,	nv nv cm verb e nv verb e mark
wan_lii i sunjaci aniya jorgon biya i ice sunja de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
gurun amba cooha geren seme dain ara fi ,	nv nv nv nv comp nv verb e mark
ama han de banji ha juwe juse ,	nv nv cm verb e nv nv mark
tungken ,	nv mark
emu niru i emte šanggiyan bayara be gai fi ,	nv nv cm nv nv nv cm verb e mark
○ ice ilan de hing_šan ci jura fi ,	mark nv nv cm nn cm verb e mark
juwan nadan de isinji ha .	nv nv cm verb e mark
○ doksoho be ,	mark nn cm mark
bohori emu to benji he ,	nv nv nv verb e mark
fio_hoton i ba be waliya fi bai me ji he gung ,	nn cm nv cm verb e verb e verb e nv mark
weijeng ni jui buyandai ,	nn cm nv nn mark
tai de poo sinda rakū ,	nv cm nv verb e mark
ahamu ,	nn mark
hasaha jafa fi boo de te he hehe niyalma ,	nv verb e nv cm verb e nv nv mark
fejergi niyalma de ulin gaija rakū ,	nv nv cm nv verb e mark
muhu_gioro de sunja niru ,	nn cm nv nv mark
tung_tsanjiyang de unggi he bithe i gisun ,	nn cm verb e nv cm nv mark
darhan_hiya i cooha ,	nn cm nv mark
han tuba de sa kini ,	nv nv cm verb e mark
han i bithe ,	nv cm nv mark
beile se amban sa gemu ile ∅ seme ilebu he .	nv nv nv nv nv verb e comp verb e mark
fujiyang ci fakca ha de ,	nv cm verb e cm mark
○ ice sunja de ,	mark nv nv cm mark
jakūn gūsa i iogi ,	nv nv cm nv mark
kicungge fonji ha .	nn verb e mark
men i monggo ejete we aika ehe gūnin jafa fi fudara me yabu ci ,	pn cm nv nv nv nv nv nv verb e verb e verb e mark
beye buce kini ,	nv verb e mark
jaisanggū_age ,	nn mark
muse i gurun i boo i ahasi uka ka ngge ,	nv cm nv cm nv cm nv verb e nmlz mark
ilu ergi de ,	nn nv cm mark
ahūta be si bene rakū bi me ,	nv cm pn verb e verb e mark
fulgiyan boso emu tanggū ,	nv nv nv nv mark
jang gidangga_golo be gemu karma fi gama habi ,	nv nn cm nv verb e verb e mark
○ orin duin de ,	mark nv nv cm mark
duin biya i ice nadan de amasi isinji ha ,	nv nv cm nv nv cm nv verb e mark
○ liyoha bira i cargi ci ,	mark nn nv cm nv cm mark
tere baita se re ngge ,	nv nv verb e nmlz mark
suwen i monggo i cooha ,	pn cm nv cm nv mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
ice ilan de elcin isinji ha .	nv nv cm nv verb e mark
juwe minggan ihan deji gai fi hergen i niyalma de šangna ha ,	nv nv nv nv verb e nv cm nv cm verb e mark
uhereme olji emu tumen ilan tanggū gūsin emu ,	nv nv nv nv nv nv nv nv mark
orin juwe niyalma ,	nv nv nv mark
juwe gurun i doro aca fi mujilen elhe o fi ,	nv nv cm nv verb e nv nv verb e mark
geli beye be sula sinda rakū ,	nv nv cm nv verb e mark
juwan duici jergi .	nv nv nv mark
emu suje i ergume ,	nv nv cm nv mark
orin i dobori jeng_giyang hecen be ka ra jaka de ,	nv cm nv nn nv cm verb e nv cm mark
in i fe šang ni dele nonggi me bu ∅ ,	pn cm nv nv cm nv verb e verb e mark
○ ši_fang_sy de ,	mark nn cm mark
uru o ci ,	nv verb e mark
tuttu tondo i fafula rakū ehe miosihon jurgan i yabu ci ,	nv nv cm verb e nv nv nv cm verb e mark
geli hendu me ,	nv verb e mark
gibkada ,	nn mark
○ ginjeo i hafan ,	mark nn cm nv mark
jai sirdan solbi re šolo de emu mujilen baha me ,	nv nv verb e nv cm nv nv verb e mark
enggeder_efu i aitai ,	nn cm nn mark
elcin yabu rakū o ki seme gisure fi ,	nv verb e verb e comp verb e mark
fakca rakū ci ,	verb e e mark
guwangning ni du_tang takūra fi isinji ha ,	nn cm nv verb e verb e mark
hai_si ši_fo_wei i du_jy_hūi_ciyanši ugesang ni jui santan ,	nn nn cm nv nn cm nv nn mark
niru juwan da ,	nv nv nv mark
giya_jing ni juwe de baha ha ,	nn cm nv cm verb e mark
suwen i jakūn wang sinda ha gurun i ejen i jaka de isa ci ,	pn cm nv nv verb e nv cm nv cm nv cm verb e mark
yada ra jobo ro niyalma ambula bi dere seme gūni me seole me dedu fi ,	verb e verb e nv nv verb ptcl comp verb e verb e verb e mark
fung_ji_pu de cooha gene re de fakca fi ,	nn cm nv verb e cm verb e mark
ere senggi gese senggi tuci me ,	nv nv nv nv verb e mark
cilin i harangga tesu niyalma be ,	nv cm nv nv nv cm mark
abka muse i gurun be jirgabu kini seme banjibu habi dere ,	nv nv cm nv cm verb e comp verb e ptcl mark
niyalma ambula buce he ,	nv nv verb e mark
tere i onggolo beile se ,	nv cm nv nv nv mark
○ orin sunja de ,	mark nv nv cm mark
tumburu niru i aldai ,	nn nv cm nn mark
hūwa_boo_cung ,	nn mark
nadan yan i weile waliya mbi ,	nv nv cm nv verb e mark
tsanjiyang si kemuni hai_jeo de bedere fi sin i yamun de te ,	nv pn nv nn cm verb e pn cm nv cm nv mark
monggo i urut beile se i gashū ha gisun ,	nv cm nn nv nv cm verb e nv mark
cooha i niyalma amasi gene fi ,	nv cm nv nv verb e mark
morin ihan hūwaita ra niyalma be sa ha de ,	nv nv verb e nv cm verb e cm mark
balai dosi re dain waka seme hendu fi ,	nv verb e nv nv comp verb e mark
○ ice duin de ,	mark nv nv cm mark
beye buce kini ,	nv verb e mark
geren beile se amban sa suwe min be tafula ci aca mbi kai ,	nv nv nv nv nv pn pn cm verb e verb e ptcl mark
muse be cen de gene mbi seme olho me ,	pn cm pn cm verb e comp verb e mark
tere ci bedere me ji fi boo i yamun de te fi ,	nv cm verb e verb e nv cm nv cm verb e mark
kadala me fafula me dain i jurgan be bi mute mbi ,	verb e verb e nv cm nv cm pn verb e mark
gemu juse omosi jalan hala me alban de ume dabu re ,	nv nv nv nv verb e nv cm nv verb e mark
bandi ,	nv mark
mederi ebergi dalin de gene fi ,	nv nv nv cm verb e mark
fung_hūwang ,	nn mark
sain akdun niyalma be tucibu fi ,	nv nv nv cm verb e mark
darhan_baturu_beile i beye ji he manggi ,	nn cm nv verb e nv mark
daha rakū ci ,	verb e e mark
cahara ,	nv mark
ere sargan jui jušen gurun be gemu oforo acabu me dain dekdebu me waji fi ,	nv nv nv nv nv cm nv nv verb e nv verb e verb e mark
haha wabu fi hehe funce fi yabu re nikan de ,	nv verb e nv verb e verb e nv cm mark
emu niru i dehite gūsita niyalma be ,	nv nv cm nv nv nv cm mark
sin i te he hoton de bedere fi ,	pn cm verb e nv cm verb e mark
○ kanggūri ,	mark nn mark
○ orin duin de ,	mark nv nv cm mark
ilan beile korso fi ,	nv nv verb e mark
elu emu fengse uji fi ,	nv nv nv verb e mark
( lama ,	mark nv mark
amala weile tuci ci gung o kini ,	nv nv verb e nv verb e mark
tusitu ,	nn mark
cecebu ,	nn mark
wei mujilen beye i weile be ,	nv nv nv cm nv cm mark
in i somi ha loho ,	pn cm verb e nv mark
tere beile se ojo rakū gene he jalin de ,	nv nv nv verb e verb e nv cm mark
juwe jui gaji me uka me ji he .	nv nv verb e verb e verb e mark
jete re jeku ,	verb e nv mark
men i beile gashū me gene he ba de geren i juleri niyalma ,	pn cm nv verb e verb e nv cm nv cm nv nv mark
poo emgeri hono sinda hakū .	nv nv nv verb e mark
daha me buce mbi seme gisure he ilan niyalma golo fi hendu me ,	verb e verb e comp verb e nv nv verb e verb e mark
bagadarhan juwe nofi ,	nn nv nv mark
losa ,	nv mark
ihan duin tanggū dehi ,	nv nv nv nv mark
yung_diyan ,	nn mark
bahana rakū ci tacibu ∅ .	verb e e verb e mark
ihan_alin de emu feye baha ha seme ,	nn cm nv nv verb e comp mark
han ,	nv mark
wan_lii i orin nadaci aniya juwe biya i ice uyun de baha ha ,	nn cm nv nv nv nv nv cm nv nv cm verb e mark
andala waliya fi gene fi ,	nv verb e verb e mark
ginjeo ,	nn mark
sure_kundulen_han sarkū bi he ,	nn nv verb e mark
giya_jing ni gūsin juwe ci aniya duin biya i gūsin de baha ha .	nn cm nv verb e nv nv nv cm nv cm verb e mark
uksin saca ambula bu fi unggi he .	nv nv nv verb e verb e mark
hecen i niyalma ,	nv cm nv mark
moro fila susaita .	nv nv nv mark
nimaha bai re jang_dase angga i habša me ,	nv verb e nn nv cm verb e mark
gai fi sure_kundulen_han i juwe jui be boo ci tucibu fi ,	verb e nn cm nv nv cm nv cm verb e mark
○ amba_beile ,	mark nn mark
○ tangkoltai ,	mark nn mark
ihan be gemu baica fi unggi ∅ ,	nv cm nv verb e verb e mark
doro be efule me facuhūn banji ci ,	nv cm verb e nv verb e mark
emu ubu be geren cooha i niyalma yali uda fi je kini ,	nv nv cm nv nv cm nv nv verb e verb e mark
wan_lii i sunjaci aniya jorgon biya i ice sunja de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
daya akū bi ci baha rakū bi he ,	nn nv verb e verb e verb e mark
duin honin wa me okdo fi sarin sarila fi ,	nv nv verb e verb e nv verb e mark
han hendu me ,	nv verb e mark
liyoodung ni hecen be gaija ra de ,	nn cm nv cm verb e cm mark
honin erin de hecen de dosi ka ,	nv nv cm nv cm verb e mark
korcin i kitat_taiji ,	nn cm nn mark
babai_efu i sargan gege fasi re jaka de ,	nn cm nv nv verb e nv cm mark
bata kimun seme gida rakū ,	nv nv comp verb e mark
tuba ci daha me ji he niyalma be ,	nv cm verb e verb e nv cm mark
suwe bithe ara fi uba de unggi ∅ ,	pn nv verb e nv cm verb e mark
ejen akū niyalma i ulin benji he sain seme ,	nv nv nv cm nv verb e nv comp mark
sin be boljohon de ji hekū seme usha me gai hakū ngge waka ,	pn cm nv cm verb e comp verb e verb e nmlz nv mark
tere jalin de ,	nv nv cm mark
abka gosi fi wesibu he ngge ,	nv verb e verb e nmlz mark
gurun i jalin de jobo rakū ,	nv cm nv cm verb e mark
wesibu fi tsanjiyang obu ha ,	verb e nv verb e mark
aiha i šeobei ,	nv cm nv mark
○ jeku juwe me gene re ilan minggan ilan tanggū ninju sejen de ,	mark nv verb e verb e nv nv nv nv nv nv cm mark
jecen i ba de te he niyalma ume dulbada ra ,	nv cm nv cm verb e nv nv verb e mark
abka fulgiyan niowanggiyan šanggiyan siren ,	nv nv nv nv nv mark
ilaci jergi iogi obu ha .	nv nv nv verb e mark
uttu yasa tuwa hai bošo me gama ha ukanju be amasi bu rakū ci ,	nv nv verb e verb e verb e nv cm nv verb e e mark
wa hakū niyalma de sui isi kini seme gisure he gisun be ,	verb e nv cm nv verb e comp verb e nv cm mark
fung_hūwang ,	nn mark
hūlha holo akū ,	nv nv nv mark
beye i sui de wasi kini ,	nv cm nv cm verb e mark
sunja amban ,	nv nv mark
suwen i monggo gurun gisure he sain doro be efule me ainu uttu yabu mbi ,	pn cm nv nv verb e nv nv cm verb e nv nv verb e mark
tese be yaka ehe se mbi o ,	nv cm nv nv verb e ptcl mark
se jalgan golmin ,	nv nv nv mark
emte tanggū ninjuta mocin ,	nv nv nv nv mark
gahai beiguwan i hergen be efule he ,	nn nv cm nv cm verb e mark
monggo jafa me hadu ∅ ,	nv verb e verb e mark
ajilai ,	nn mark
tere be donji fi ,	nv cm verb e mark
lan_ho_bira i dalin de cooha ing ili fi hendu me ,	nn cm nv cm nv nv verb e verb e mark
dahio be juse omosi jalan de isi tala alban de ume dabu re ,	nn cm nv nv nv cm verb e nv cm nv verb e mark
amga ra ngge waka ,	verb e nmlz nv mark
cooha i juwe dalba de siren tuci fi ,	nv cm nv nv cm nv verb e mark
kalka be dulembu rahū ,	nv cm verb e mark
asihan asihan i tatan be teisu teisu suwele ∅ seme hendu he manggi ,	nv nv cm nv cm nv nv verb e comp verb e nv mark
balju ,	nn mark
gulu lamun i eksingge ,	nv nv cm nn mark
fejile na bi ,	nv nv verb mark
sunjaci jergi ,	nv nv mark
gūwa be gemu burula ha seme gisure fi ,	nv cm nv verb e comp verb e mark
in i ama eme i gebu be ala me ,	pn cm nv nv cm nv cm verb e mark
gurun donji kini seme sin be doro jafabu ha kai ,	nv verb e comp pn cm nv verb e ptcl mark
hoifa i hoton tuwakiya me te he genggiyen_han i susai haha be wa ha ,	nn cm nv verb e verb e nn cm nv nv cm verb e mark
elcin ji he ilan niyalma de ,	nv verb e nv nv cm mark
tuttu tondo i fafula rakū ehe miosihon jurgan i banji ci ,	nv nv cm verb e nv nv nv cm verb e mark
tsanjiyang ni hergen be wasibu fi iogi obu me beide he bi he ,	nv cm nv cm verb e nv verb e verb e verb e mark
yungšun ,	nn mark
alha ,	nv mark
juleri nikan ye_bu_šeo i emgi emu jušen be sinda fi ,	nv nv nv cm nv nv nv cm verb e mark
te bi cibe ,	nv verb e mark
ilaci jergi iogi obu ha ,	nv nv nv verb e mark
tari me tesu rakū ci ,	verb e verb e e mark
○ beiguwan han i pai be gai fi min i kadala ra emu niru i cooha be iogi tsanjiyang ci fakca rakū ,	mark nv nv cm nv cm verb e pn cm verb e nv nv cm nv cm nv nv cm verb e mark
tuttu doigon de niyalma takūra fi jeku be eye ci tucibu rakū ,	nv nv cm nv verb e nv cm nv cm verb e mark
han saiša ha .	nv verb e mark
cooha gene he monggo i beile se dzung_bing_guwan manggol_efu ,	nv verb e nv cm nv nv nv nn mark
haha hehe i etu re gecuheri etuku uyun ,	nv nv cm verb e nv nv nv mark
jura fi gene re de ,	verb e verb e cm mark
jai laha i giran i jaka de geli gene fi ,	nv nv cm nv cm nv cm nv verb e mark
bata kimun seme gida rakū ,	nv nv comp verb e mark
jerde duin karun i niyalma aca fi ,	nv nv nv cm nv verb e mark
in i geren cooha be wabu fi ,	pn cm nv nv cm verb e mark
ninggun tanggū juwan sejen ,	nv nv nv nv mark
sain ojo rakū aina ha seme hendu he .	nv verb e verb e comp verb e mark
cooha be kadala me ete mbi seme ,	nv cm verb e verb e comp mark
emu tanggū orin ba i dube de gene fi ,	nv nv nv nv cm nv cm verb e mark
g'ai_jeo de te he monggo ,	nn cm verb e nv mark
min i beye lo_san_sa de min i dergi boo i amargi boo de bu fi hendu me ,	pn cm nv nn cm pn cm nv nv cm nv nv cm verb e verb e mark
amba_efu ,	nn mark
ojo rakū ci ,	verb e e mark
jase i tulergi abka i wakala ha yehe de da fi ,	nv cm nv nv cm verb e nv cm verb e mark
mandasi ,	nn mark
jaha ara ra be gašan i niyalma de ume donjibu re ,	nv verb e cm nv cm nv cm nv verb e mark
jai jergi de juwanta yan ,	nv nv cm nv nv mark
sartahūn ume gūni re ,	nv nv verb e mark
tung_jeng_ming ,	nn mark
